list-none-none,1,10,1,30,103157,3438
list-none-none,1,100,1,300,156731,522
list-none-none,1,1000,1,3000,5532122,1844
list-none-none,1,10000,1,30000,734294673,24476
list-none-none,1,20000,1,60000,41034341,683
list-none-none,2,10,1,60,133770,2229
list-none-none,2,100,1,600,284221,473
list-none-none,2,1000,1,6000,18765558,3127
list-none-none,8,10,1,240,911172,3796
list-none-none,12,10,1,360,1162052,3227
list-i-none,2,2,1,12,71909,5992
list-i-none,2,4,1,24,106940,4455
list-i-none,2,8,1,48,633929,13206
list-i-none,2,16,1,96,114836,1196
list-i-none,2,32,1,192,133075,693
list-d-none,2,2,1,12,112111,9342
list-d-none,2,4,1,24,105576,4399
list-d-none,2,16,1,96,110480,1150
list-id-none,2,2,1,12,108202,9016
list-id-none,2,4,1,24,127332,5305
list-id-none,2,16,1,96,140038,1458
list-il-none,2,2,1,12,90651,7554
list-il-none,2,16,1,96,118840,1237
list-il-none,2,32,1,192,161358,840
list-dl-none,2,2,1,12,86705,7225
list-dl-none,2,4,1,24,105139,4380
list-dl-none,2,8,1,48,116368,2424
list-dl-none,2,16,1,96,123787,1289
list-dl-none,2,32,1,192,147216,766
list-i-none,4,2,1,24,163579,6815
list-i-none,4,4,1,48,157545,3282
list-i-none,4,8,1,96,159255,1658
list-i-none,4,16,1,192,199934,1041
list-d-none,4,2,1,24,185208,7717
list-d-none,4,4,1,48,172515,3594
list-id-none,4,32,1,384,254306,662
list-il-none,4,2,1,24,123436,5143
list-il-none,4,8,1,96,135502,1411
list-dl-none,4,2,1,24,161038,6709
list-dl-none,4,4,1,48,109825,2288
list-i-none,8,2,1,48,907870,18913
list-i-none,8,4,1,96,660845,6883
list-i-none,8,8,1,192,224472,1169
list-i-none,8,16,1,384,214498,558
list-d-none,8,2,1,48,214920,4477
list-d-none,8,4,1,96,1386187,14439
list-d-none,8,16,1,384,248680,647
list-id-none,8,2,1,48,899684,18743
list-id-none,8,8,1,192,582708,3034
list-il-none,8,2,1,48,511415,10654
list-dl-none,8,4,1,96,700007,7291
list-dl-none,8,8,1,192,524195,2730
list-i-none,12,4,1,144,1304948,9062
list-d-none,12,2,1,72,674410,9366
list-d-none,12,4,1,144,844478,5864
list-id-none,12,2,1,72,981548,13632
list-id-none,12,4,1,144,833448,5787
list-id-none,12,8,1,288,981899,3409
list-id-none,12,16,1,576,649405,1127
list-il-none,12,8,1,288,674590,2342
list-il-none,12,16,1,576,1490982,2588
list-dl-none,12,2,1,72,973101,13515
list-dl-none,12,4,1,144,1025168,7119
list-i-m,12,2,1,72,623940,8665
list-i-m,12,4,1,144,1038989,7215
list-i-m,12,8,1,288,1030024,3576
list-i-m,12,16,1,576,970590,1685
list-i-m,12,32,1,1152,650660,564
list-d-m,12,2,1,72,609768,8469
list-d-m,12,4,1,144,987215,6855
list-d-m,12,8,1,288,984093,3416
list-d-m,12,16,1,576,1643801,2853
list-d-m,12,32,1,1152,1035191,898
list-id-m,12,2,1,72,632836,8789
list-id-m,12,4,1,144,679808,4720
list-id-m,12,8,1,288,975610,3387
list-id-m,12,16,1,576,1432386,2486
list-id-m,12,32,1,1152,1517102,1316
list-il-m,12,2,1,72,1672858,23234
list-il-m,12,4,1,144,1725512,11982
list-il-m,12,8,1,288,1714205,5952
list-il-m,12,16,1,576,803156,1394
list-il-m,12,32,1,1152,786404,682
list-dl-m,12,2,1,72,623906,8665
list-dl-m,12,4,1,144,1683306,11689
list-dl-m,12,8,1,288,1621344,5629
list-dl-m,12,16,1,576,1071039,1859
list-dl-m,12,32,1,1152,1046723,908
list-i-m,32,2,1,192,2034724,10597
list-i-m,32,4,1,384,1271627,3311
list-i-m,32,8,1,768,1622388,2112
list-i-m,32,16,1,1536,2063461,1343
list-i-m,32,32,1,3072,1889362,615
list-d-m,32,2,1,192,2039388,10621
list-d-m,32,4,1,384,2051324,5341
list-d-m,32,8,1,768,1649523,2147
list-d-m,32,16,1,1536,2573108,1675
list-d-m,32,32,1,3072,2881281,937
list-id-m,32,2,1,192,2076336,10814
list-id-m,32,4,1,384,1924550,5011
list-id-m,32,8,1,768,1356647,1766
list-id-m,32,16,1,1536,1393948,907
list-id-m,32,32,1,3072,2528374,823
list-il-m,32,2,1,192,2016526,10502
list-il-m,32,4,1,384,2761744,7192
list-il-m,32,8,1,768,2454032,3195
list-il-m,32,16,1,1536,1392543,906
list-il-m,32,32,1,3072,2146148,698
list-dl-m,32,2,1,192,1298337,6762
list-dl-m,32,4,1,384,1289204,3357
list-dl-m,32,8,1,768,1729418,2251
list-dl-m,32,16,1,1536,2882374,1876
list-dl-m,32,32,1,3072,2110593,687
list-i-s,12,2,1,72,1663114,23098
list-i-s,12,4,1,144,694795,4824
list-i-s,12,8,1,288,1121953,3895
list-i-s,12,16,1,576,962095,1670
list-i-s,12,32,1,1152,1162882,1009
list-d-s,12,2,1,72,964958,13402
list-d-s,12,4,1,144,938614,6518
list-d-s,12,8,1,288,1016439,3529
list-d-s,12,16,1,576,1664124,2889
list-d-s,12,32,1,1152,1023423,888
list-id-s,12,2,1,72,918524,12757
list-id-s,12,4,1,144,1644737,11421
list-id-s,12,8,1,288,1487281,5164
list-id-s,12,16,1,576,1667598,2895
list-id-s,12,32,1,1152,1780453,1545
list-il-s,12,2,1,72,775752,10774
list-il-s,12,4,1,144,1000210,6945
list-il-s,12,8,1,288,867912,3013
list-il-s,12,16,1,576,1675696,2909
list-il-s,12,32,1,1152,883179,766
list-dl-s,12,2,1,72,1308938,18179
list-dl-s,12,4,1,144,1513572,10510
list-dl-s,12,8,1,288,1131956,3930
list-dl-s,12,16,1,576,1547138,2686
list-dl-s,12,32,1,1152,1489238,1292
list-i-s,32,2,1,192,2474947,12890
list-i-s,32,4,1,384,2099943,5468
list-i-s,32,8,1,768,2669865,3476
list-i-s,32,16,1,1536,1710929,1113
list-i-s,32,32,1,3072,2160914,703
list-d-s,32,2,1,192,1642470,8554
list-d-s,32,4,1,384,1307875,3405
list-d-s,32,8,1,768,1829519,2382
list-d-s,32,16,1,1536,2656833,1729
list-d-s,32,32,1,3072,1751121,570
list-id-s,32,2,1,192,2068234,10772
list-id-s,32,4,1,384,1967152,5122
list-id-s,32,8,1,768,1306432,1701
list-id-s,32,16,1,1536,2045383,1331
list-id-s,32,32,1,3072,3195998,1040
list-il-s,32,2,1,192,1322558,6888
list-il-s,32,4,1,384,1319436,3436
list-il-s,32,8,1,768,1415308,1842
list-il-s,32,16,1,1536,2103675,1369
list-il-s,32,32,1,3072,2530804,823
list-dl-s,32,2,1,192,1286720,6701
list-dl-s,32,4,1,384,1958950,5101
list-dl-s,32,8,1,768,1987877,2588
list-dl-s,32,16,1,1536,1645481,1071
list-dl-s,32,32,1,3072,2823005,918
list-none-none,1,1000,1,3000,5393703,1797
list-none-m,1,1000,1,3000,5392043,1797
list-none-m,2,1000,1,6000,10840192,1806
list-none-m,4,1000,1,12000,21980670,1831
list-none-m,8,1000,1,24000,44148585,1839
list-none-m,12,1000,1,36000,65638732,1823
list-none-m,16,1000,1,48000,87058232,1813
list-none-m,24,1000,1,72000,131183692,1821
list-none-s,1,1000,1,3000,5487819,1829
list-none-s,2,1000,1,6000,10872145,1812
list-none-s,4,1000,1,12000,22954831,1912
list-none-s,8,1000,1,24000,45073337,1878
list-none-s,12,1000,1,36000,74377722,2066
list-none-s,16,1000,1,48000,118051249,2459
list-none-s,24,1000,1,72000,176128598,2446
